year,first_place,first_id,first_country,first_team,second_place,second_id,second_country,second_team,third_place,third_id,third_country,third_team,stages,distance,average_speed
1903,Maurice Garin,1,France,(none),Lucien Pothier,1,France,(none),Fernand Augereau,1,France,(none),6,2428,25.6
1904,Henri Cornet,1,France,Geboren Jardy,Jean-Baptiste Dortignacq,1,France,(none),Alois Catteau,1,France,(none),6,2428,25.3
1905,Louis Trousselier,1,France,(none),Hyppolite Aucouturier,1,France,(none),Jean-Baptiste Dortignacq,1,France,(none),11,2994,27.1
1906,Rene Pottier,1,France,(none),Georges Passerieu,1,France,(none),Louis Trousselier,1,France,(none),13,4545,24.5
1907,Lucien Petit-Breton,1,France,(none),Gustave Garrigou,1,France,(none),Emile Georget,1,France,(none),14,4488,28.5
1908,Lucien Petit-Breton,1,France,(none),Francois Faber,2,Luxembourg,(none),Georges Passerieu,1,France,(none),14,4488,28.7
1909,Francois Faber,2,Luxembourg,Alcyon,Gustave Garrigou,1,France,Alcyon,Jean Alavoine,1,France,Alcyon,14,4497,28.7
1910,Octave Lapize,1,France,Alcyon,Francois Faber,2,Luxembourg,Alcyon,Gustave Garrigou,1,France,Alcyon,15,4734,29.1
1911,Gustave Garrigou,1,France,Alcyon,Paul Duboc,1,France,La Francaise,Emile Georget,1,France,La Francaise,15,5343,27.3
1912,Odile Defraye,3,Belgium,Alcyon,Eugene Christophe,1,France,Armor,Gustave Garrigou,1,France,Alcyon,15,5289,27.8
1913,Philippe Thys,3,Belgium,Peugeot,Gustave Garrigou,1,France,Peugeot,Marcel Guysse,3,Belgium,Peugeot,15,5287,26.7
1914,Philippe Thys,3,Belgium,Peugeot-Wolber,Henri Pelissier,1,France,Peugeot-Wolber,Jean Alavoine,1,France,Peugeot-Wolber,15,5380,26.8
1915,(none),0,(none),(none),(none),0,(none),(none),(none),0,(none),(none),0,0,0
1916,(none),0,(none),(none),(none),0,(none),(none),(none),0,(none),(none),0,0,0
1917,(none),0,(none),(none),(none),0,(none),(none),(none),0,(none),(none),0,0,0
1918,(none),0,(none),(none),(none),0,(none),(none),(none),0,(none),(none),0,0,0
1919,Firmin Lambot,3,Belgium,(none),Jean Alavoine,1,France,(none),Eugene Christophe,1,France,(none),15,5560,24.1
1920,Philippe Thys,3,Belgium,(none),Hector Heusghem,3,Belgium,(none),Firmin Lambot,3,Belgium,(none),15,5503,24.1
1921,Leon Scieur,3,Belgium,(none),Hector Heusghem,3,Belgium,(none),Honore Barthelemy,1,France,(none),15,5485,24.7
1922,Firmin Lambot,3,Belgium,(none),Jean Alavoine,1,France,(none),Felix Sellier,3,Belgium,(none),15,5375,24.2
1923,Henri Pelissier,1,France,(none),Ottavio Bottecchia,4,Italy,(none),Romain Bellenger,1,France,(none),15,5386,24.2
1924,Ottavio Bottecchia,4,Italy,Premiere Classe,Nicolas Frantz,1,France,Premier Classe,Lucien Buysse,3,Belgium,Premiere Classe,15,5425,24.3
1925,Ottavio Bottecchia,4,Italy,Automoto-Hutchinson,Lucien Buysse,3,Belgium,Automoto-Hutchinson,Bartolomeo Aimo,4,Italy,Alcyon-Dunlop,18,5440,24.8
1926,Lucien Buysse,3,Belgium,Automoto-Hutchinson,Nicolas Frantz,1,France,Alcyon-Dunlop,Bartolomeo Aimo,4,Italy,Alcyon-Dunlop,17,5745,24.3
1927,Nicolas Frantz,1,France,Alcyon-Dunlop,Maurice De Waele,3,Belgium,Labor-Dunlop,Julien Vervaecke,3,Belgium,Alcyon-Dunlop,24,5340,27.2
1928,Andre Leducq,1,France,Alcyon-Dunlop,Maurice De Waele,3,Belgium,Alcyon-Dunlop,Tim Mertens,3,Belgium,Thomann-Dunlop,22,5476,28.4
1929,Maurice De Waele,3,Belgium,AS,Giuseppe Pancera,4,Italy,AS,Jef Demuysere,3,Belgium,AS,22,5257,28.3
1930,Andre Leducq,1,France,France,Learco Guerra,4,Italy,Italy,Antonin Magne,1,France,Italy,21,4822,28
1931,Antonin Magne,1,France,France,Jef Demuysere,3,Belgium,Belgium,Antonio Pesenti,4,Italy,Italy,24,5091,28.7
1932,Andre Leducq,1,France,France,Kurt Stoepel,11,Germany,Allemagne-Autriche,Francesco Camusso,4,Italy,Italy,21,4479,29.0
1933,Georges Speicher,1,France,France,Learco Guerra,4,Italy,Italy,Giuseppe Martano,4,Italy,Touristes-Routiers,23,4395,29.8
1934,Antonin Magne,1,France,France,Giuseppe Martano,4,Italy,Italy,Roger Lapebie,1,France,France,23,4470,30.4
1935,Roman Maes,3,Belgium,Belgium,Ambrogio Morelli,4,Italy,Italy,Felicien Vervaecke,3,Belgium,Belgium,21,4338,30.7
1936,Sylvere Maes,3,Belgium,Belgium,Antonin Magne,1,France,France,Felicien Vervaecke,3,Belgium,Belgium,21,4418,31.1
1937,Guy Lapebie,1,France,France,Mario Vicini,4,Italy,Touristes Routiers,Leo Amberg,6,Switzerland,Switzerland,20,4415,31.8
1938,Gino Bartali,4,Italy,Italy,Felicien Vervaecke,3,Belgium,Belgium,Victor Cosson,1,France,France,23,2687,31.6
1939,Sylvere Maes,3,Belgium,Belgium,Rene Vietto,1,France,Sud-Est,Lucien Vlaemynck,3,Belgium,Belgium,18,4224,32.0
1940,(none),0,(none),(none),(none),0,(none),(none),(none),0,(none),(none),0,0,0
1941,(none),0,(none),(none),(none),0,(none),(none),(none),0,(none),(none),0,0,0
1942,(none),0,(none),(none),(none),0,(none),(none),(none),0,(none),(none),0,0,0
1943,(none),0,(none),(none),(none),0,(none),(none),(none),0,(none),(none),0,0,0
1944,(none),0,(none),(none),(none),0,(none),(none),(none),0,(none),(none),0,0,0
1945,(none),0,(none),(none),(none),0,(none),(none),(none),0,(none),(none),0,0,0
1946,(none),0,(none),(none),(none),0,(none),(none),(none),0,(none),(none),0,0,0
1947,Jean Robic,1,France,Ouest,Edourad Fachleitner,1,France,France,Pierre Brambilla,1,France,Italy,21,4640,31.4
1948,Gino Bartali,4,Italy,Italy,Brik Schotte,3,Belgium,Belgium,Guy Lapebie,1,France,Centre-Sud Ouest,21,4922,33.4
1949,Fausto Coppi,4,Italy,Italy,Gino Bartali,4,Italy,Italy,Jacques Marinelli,1,France,Ile de France,21,4808,32.1
1950,Ferdi Kubler,6,Switzerland,Switzerland,Stan Ockers,3,Belgium,Belgium,Louison Bobet,1,France,France,22,4773,32.8
1951,Hugo Koblet,6,Switzerland,Switzerland,Raphael Geminiani,1,France,France,Lucien Lazarides,1,France,France,24,4690,32.9
1952,Fausto Coppi,4,Italy,Italy,Stan Ockers,3,Belgium,Belgium,Bernardo Ruiz,7,Spain,Spain,23,4898,32.2
1953,Louison Bobet,1,France,France,Jean Mallejac,1,France,Ouest,Giancarlo Astrua,4,Italy,Italy,22,4476,34.6
1954,Louison Bobet,1,France,France,Ferdi Kubler,6,Switzerland,Switzerland,Fritz Schaer,6,Switzerland,Switzerland,23,4656,33.2
1955,Louison Bobet,1,France,France,Jean Brankart,3,Belgium,Belgium,Charly Gaul,2,Luxembourg,Luxembourg Mixte,22,4495,33.4
1956,Roger Walkowiak,1,France,Nord Est-Centre,Gilbert Bauvin,1,France,France,Jean Adriaenssens,3,Belgium,Belgium,22,4498,36.3
1957,Jacques Anquetil,1,France,(no data),Marcel Janssens,3,Belgium,(no data),Adolf Christian,14,Austria,(no data),22,4665,34.3
1958,Charly Gaul,2,Luxembourg,Pays Bas-Luxembourg,Vito Favero,4,Italy,Italy,Raphael Geminiani,1,France,Centre-Midi,24,4319,36.9
1959,Federico Bahamontes,7,Spain,Spain,Henri Anglade,1,France,Centre-Midi,Jacques Anquetil Fr,1,France,France,22,4391,35.5
1960,Gastone Nencini,4,Italy,Italy,Graziano Battistini,4,Italy,Italy,Jean Adriaenssens,3,Belgium,Belgium,21,4173,37.2
1961,Jacques Anquetil,1,France,France,Guido Carlesi,4,Italy,Italy,Charly Gaul,2,Luxembourg,Suisse-Luxembourg,21,4397,36.0
1962,Jacques Anquetil,1,France,ACBB-Saint Raphael-Helyett-Hutchinson,Jo Planckaert,3,Belgium,Faema-Flandria-Clement,Raymond Poulidor,1,France,Mercier-BP-Hutchinson,22,4274,37.3
1963,Jacques Anquetil,1,France,V.C. XII-Saint Raphael-Gitane-Dunlop,Federico Bahamontes,7,Spain,Margnat-Paloma-Motul-Dunlop,Jose Perez-Frances,7,Spain,Ferrys,21,4137,37.1
1964,Jacques Anquetil,1,France,V.C. XII-Saint Raphael-Gitane-Campagnolo,Raymond Poulidor,1,France,Mercier-BP-Hutchinson,Federico Bahamontes,7,Spain,Margnat-Paloma-Dunlop,22,4504,35.4
1965,Felice Gimondi,4,Italy,Salvarani,Raymond Poulidor,1,France,Mercier-BP-Hutchinson,Gianni Motta,4,Italy,Molteni-Ignis,22,4188,35.9
1966,Lucien Aimar,1,France,(no data),Jan Janssen,8,Netherlands,(no data),Raymond Poulidor,0,France,(no data),22,4322,36.8
1967,Raymond Pingeon,1,France,France,Julio Jimenez,7,Spain,Spain,Franco Balmamion,4,Italy,Primavera,22,4758,34.8
1968,Jan Janssen,8,Netherlands,Netherlands,Herman Vanspringel,3,Belgium,Belgium A,Ferdinand Bracke,3,Belgium,Belgium B,22,4492,33.6
1969,Eddy Merckx,3,Belgium,Faema,Raymond Pingeon,1,France,Peugeot-BP-Michelin,Ramond Poulidor,1,France,Mercier-BP-Hutchinson,22,4117,35.4
1970,Eddy Merckx,3,Belgium,Faema-Faemino,Joop Zoetemelk,8,Netherlands,Flandria-De Clerck-Kruger,Gosta Pettersson,15,Sweden,Ferretti,23,4254,35.6
1971,Eddy Merckx,3,Belgium,Molteni,Joop Zoetemelk,8,Netherlands,Mars-Flandria,Lucien Van Impe,3,Belgium,Sonolor-Lejeune,20,3608,38.1
1972,Eddy Merckx,3,Belgium,Molteni,Felice Gimondi,4,Italy,Salvarani,Raymond Poulidor,1,France,Gan-Mercier-Hutchinson,20,3846,35.5
1973,Luis Ocana,7,Spain,BIC,Bernard Thevenet,1,France,Peugeot-BP,Jose-Manuel Fuente,7,Spain,KAS,20,4090,33.4
1974,Eddy Merckx,3,Belgium,Molteni,Raymond Poulidor,1,France,Gan-Mercier,Vicente Lopez-Carril,7,Spain,KAS,22,4098,35.2
1975,Bernard Thevenet,1,France,Peugeot-BP,Eddy Merckx,3,Belgium,Molteni,Lucien Van Impe,3,Belgium,Gitane,22,4000,34.9
1976,Lucien Van Impe,3,Belgium,Gitane-Campagnolo,Joop Zoetemelk,8,Netherlands,Gan-Mercier-Hutchinson,Raymond Poulidor,1,France,Gan-Mercier-Hutchinson,22,4017,34.5
1977,Bernard Thevenet,1,France,Peugeot-Esso-Michelin,Hennie Kuiper,8,Netherlands,TI-Raleigh,Lucien Van Impe,3,Belgium,Lejeune-BP,22,4096,35.4
1978,Bernard Hinault,1,France,Renault-Gitane,Joop Zoetemelk,8,Netherlands,Miko-Mercier,Joaquim Agostinho,16,Portugal,Velda-Lano-Flandria,22,3908,36.1
1979,Bernard Hinault,1,France,Renault-Gitane,Joop Zoetemelk,8,Netherlands,Miko-Mercier,Joaquim Agostinho,16,Portugal,Flandria-Ca Va Seul,24,3765,36.5
1980,Joop Zoetemelk,8,Netherlands,TI-Raleigh-Creda,Hennie Kuiper,8,Netherlands,Peugeot-Esso-Michelin,Raymond Martin,1,France,Miko-Mercier-Vivagel,22,3842,35.1
1981,Bernard Hinault,1,France,Renault-Gitane,Lucien Van Impe,3,Belgium,Boston-Mavic,Robert Alban,1,France,La Redoute-Motobecane,22,3753,39.0
1982,Bernard Hinault,1,France,Renault-Gitane,Joop Zoetemelk,3,Belgium,Coop-Mercier-Mavic,Johan Van Der Velde,8,Netherlands,TI-Raleigh-Campagnolo,21,3507,38.1
1983,Laurent Fignon,1,France,Renault-Elf-Gitane,Angel Arroyo,7,Spain,Reynolds,Peter Winnen,8,Netherlands,TI-Raleigh-Campagnolo,22,3809,36.2
1984,Laurent Fignon,1,France,Renault-Elf,Bernard Hinault,1,France,La Vie Claire-Terraillon,Greg Lemond,10,USA,Renault-Elf,23,4021,35.9
1985,Bernard Hinault,1,France,La Vie Claire-Wonder-Radar,Greg Lemond,10,USA,La Vie Claire-Wonder-Radar,Stephen Roche,4,Italy,La Redoute,22,4109,36.2
1986,Greg Lemond,9,USA,La Vie Claire-Wonder-Radar,Bernard Hinault,1,France,La Vie Claire-Wonder-Radar,Urs Zimmerman,6,Switzerland,Carrera Jeans,23,4094,37.0
1987,Stephen Roche,4,Italy,Carrera Jeans,Pedro Delgado,7,Spain,PDM,Jean-Francois Bernard,1,France,Toshiba-Look-La Vie Claire,25,4231,36.6
1988,Pedro Delgado,7,Spain,Reynolds,Steven Rooks,8,Netherlands,PDM,Fabio Parra,17,Colombia,Kelme,22,3286,38.9
1989,Greg Lemond,9,USA,ADR-Agrigel-Bottecchia,Laurent Fignon,1,France,Super U,Pedro Delgado,7,Spain,Reynolds-Banesto,21,3285,37.5
1990,Greg Lemond,9,USA,Z-Peugeot,Claudio Chiappucci,4,Italy,Carrera Jeans-Vagabond,Erik Breukink,8,Netherlands,PDM,21,3504,38.6
1991,Miguel Indurain,7,Spain,Banesto,Gianni Bugno,1,France,Gatorade-Chateau d'Ax,Claudio Chiappucci,4,Italy,Carrera Jeans,22,3914,38.7
1992,Miguel Indurain,7,Spain,Banesto,Claudio Chiappucci,4,Italy,Carrera Jeans-Tassoni,Gianni Bugno,4,Italy,Gatorade-Chateau d'Eax,21,3983,39.5
1993,Miguel Indurain,7,Spain,Banesto,Tony Rominger,6,Switzerland,Clas-Cajastur,Zenon Jaskula,18,Poland,GB-MG-Maglificio,20,3714,38.7
1994,Miguel Indurain,7,Spain,Banesto,Piotr Ugrumov,12,Latvia,Gewiss-Ballan,Marco Pantani,4,Italy,Carrera Jeans-Tassoni,21,3978,38.4
1995,Miguel Indurain,7,Spain,Banesto,Alex Zulle,6,Switzerland,Once,Bjarne Riis,10,Denmark,Gewiss-Ballan,20,3653,39.2
1996,Bjarne Riis,10,Denmark,Team Deutsche Telekom,Jan Ullrich,11,Germany,Team Deutche Telekom,Richard Virenque,1,France,Festina,21,3907,39.2
1997,Jan Ullrich,11,Germany,Team Deutsche Telekom,Richard Virenque,1,France,Festina Watches,Marco Pantani,4,Italy,Mercatone-Uno,21,3950,39.2
1998,Marco Pantani,4,Italy,Mercatone Uno-Bianchi,Jan Ullrich,11,Germany,Team Deutche Telekom,Bobby Julich,9,USA,Cofidis-Le Credit Par Telephone,21,3850,40.0
1999,Lance Armstrong,9,USA,US Postal Service,Alex Zulle,6,Switzerland,Banesto,Fernando Escartin,7,Spain,Kelme-Costa Blanca,20,3870,40.3
2000,Lance Armstrong,9,USA,US Postal Service,Jan Ullrich,11,Germany,Team Deutche Telekom,Joseba Beloki,7,Spain,Festina Watches,21,3662.5,39.6
2001,Lance Armstrong,9,USA,US Postal Service,Jan Ullrich,11,Germany,Team Deutche Telekom,Joseba Beloki,7,Spain,Kelme,20,0,0
2002,Lance Armstrong,9,USA,US Postal Service,Joseba Beloki,7,Spain,Once-Eroski,Raimondas Rumsas,18,Lithuania,Lampre-Daikin,20,0,0
2003,Lance Armstrong,9,USA,US Postal Service-Berry Floor,Jan Ullrich,11,Germany,Team Bianchi,Alexandre Vinokourov,19,Kazakhstan,Team Telekom,20,0,0
2004,Lance Armstrong,9,USA,US Postal Service-Berry Floor,Andreas Kl_den,11,Germany,T-Mobile Team,Ivan Basso,4,Italy,Team CSC,20,0,0
2005,Lance Armstrong,9,USA,Discovery Channel Team,Ivan Basso,4,Italy,Team CSC,Jan Ullrich,11,Germany,T-Mobile Team,21,0,0
2006,Oscar Pereiro Sio,7,Spain,Caisse d'Epargne-Illes Balears,Andreas Kl_den,11,Germany,T-Mobile Team,Carlos Sastre,7,Spain,Team CSC,20,3657.1,0
2007,Alberto Contador,7,Spain,Discovery Channel Team,Cadel Evans,13,Australia,Predictor-Lotto,Levi Leipheimer,9,USA,Discovery Channel Team,20,3569.9,0
2008,Carlos Sastre,7,Spain,Team CSC Saxo Bank,Cadel Evans,13,Australia,Silence-Lotto,Bernhard Kohl,14,Austria,Gerolsteiner,21,3559.5,0
2009,Alberto Contador,7,Spain,Astana,Andy Schleck,8,Netherlands,Team Saxo Bank,Lance Armstrong,9,USA,Astana,21,3459.5,0
2010,Alberto Contador,7,Spain,Astana,Andy Schleck,8,Netherlands,Team Saxo Bank,Denis Menchov,20,Russia,Rabobank,20,3641.4,0
